Name,RAJ2000,DEJ2000,x_kpc,y_kpc,z_kpc,SpType_a,Teff,j_m,j_msigcom,j_snr,h_m,h_msigcom,h_snr,k_m,k_msigcom,k_snr,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,l,b,ruwe,r_est,r_lo,r_hi,r_len,Ks,H,J,Ks_0,H_0,J_0,MKs,Mbol,sample
Gaia EDR3 426615498045502464,15.7321667,60.9733056,-9.546133437626263,2.263995035720741,-0.05954635823905665,M0.5,3767.5,5.285,0.294,259078.0,4.262,0.284,256513.0,3.992,0.37,206357.0,426615498045502464,15.732159435511338,0.025654410290994512,60.973291070811655,0.027082607898763496,0.36457834917659776,0.039394951167535136,-2.495863271320611,0.05079184067822801,-0.7735556251192712,0.04733447786325845,13843939.133639375,7287.605034692771,7.8352165,2.4190612000000002,1.3212194,1.0978417,-43.95891509124192,0.2317438634030177,124.32608766608229,-1.8673499517805592,0.96800333,2529.77865701349,2294.4244610299397,2816.6950448955,1038.3490986532001,3.992,4.262,5.285,3.842,4.9307300146520125,3.9077300146520133,-8.173412621209351,-5.458568371209352,bronze
Gaia EDR3 508241317143609600,29.735875,61.0011111,-9.27066394296931,1.460485797061598,0.0017474149732665605,M0.5,3767.5,5.155,0.278,371903.0,3.853,0.21,492845.0,3.3160000000000003,0.342,507014.0,508241317143609600,29.73587848032217,0.025954938871274303,61.00110065125905,0.034911968553383264,0.5165186194226028,0.04765381634157443,-1.2748027507179982,0.042514843507195435,-0.7865747768834991,0.07179398914807207,8321025.94999395,6588.376099831034,8.387922999999999,3.169712,1.9000587,1.2696533,-41.438421546941036,0.4309179005092795,131.02335107373622,-0.8056978874885251,0.9458219000000001,1838.24028335193,1687.3074744084195,2017.95394757085,1123.71776808951,3.3160000000000003,3.853,5.155,3.0660000000000003,4.562140005171299,3.2601400051712988,-8.256011395188715,-5.541167145188717,bronze
Gaia EDR3 2014635606551385728,343.6266667,60.7973611,-8.947881066874562,2.7310184933014545,0.08320442915652512,M0.5,3767.5,6.148,0.024,95110.8,4.799,0.033,151116.0,4.234,0.016,159522.0,2014635606551385728,343.6268335257028,0.061038057496953985,60.797375078181936,0.0617139818185369,0.34584890977110205,0.07673508329756247,-3.0873252605735777,0.12695020848353905,-1.516764794051631,0.1113065935422862,1044466.0657711015,761.1029445924248,10.6411295,3.914216,2.4969672999999997,1.4172487,-71.77254961291273,0.5557557791297142,109.14494502850228,1.0946679618763837,1.0332431,2647.8681973491503,2174.86351014836,3354.44432092151,1214.3702740297501,4.234,4.799,6.148,3.794,5.121340031027794,3.7723400310277935,-8.320481817379504,-5.605637567379506,bronze
Gaia EDR3 2014800361496904960,346.7285417,60.55741670000001,-8.711298323579635,1.9098809444869047,0.03605499319377623,M0.5,3767.5,5.291,0.037000000000000005,257650.0,4.243,0.17,279711.0,3.772,0.264,280298.0,2014800361496904960,346.7285054386296,0.044391193412494506,60.557409501518094,0.057100266862934526,0.4906579788791906,0.0556209616769142,-3.480726293180467,0.09423760164576507,-1.926228815970341,0.1054725546696618,4559593.3035561945,6938.861660757459,9.041051,3.1619143,1.8941526000000002,1.2677617,-65.00084872968387,0.3778146304421349,110.42877053928436,0.2482396221568633,1.1408905,1930.578587557169,1737.47161037107,2170.23419440078,1123.1088785881,3.772,4.243,5.291,3.612,4.907810020685196,3.8598100206851966,-7.816437425158414,-5.101593175158414,bronze
Gaia EDR3 512570987775524224,21.68025,62.87552779999999,-9.430372992833744,1.902355345235388,0.04105126681611957,M0.5,3767.5,4.8839999999999995,0.037000000000000005,387998.0,3.906,0.228,423165.0,3.43,0.282,358443.0,512570987775524224,21.680254198859785,0.03089719471532878,62.87554367285056,0.03209874642027575,0.4201349826019187,0.04768771395266185,-0.8283389755598389,0.05500724176492462,-1.4830008267751518,0.061326657970564614,9969904.79385006,11929.329911175013,8.191638000000001,2.8240747,1.6355839,1.1884909,,,126.94098085335527,0.27876159588819577,0.9778454,2230.21953895886,2009.3070738397198,2503.66171044177,1203.96691328023,3.43,3.906,4.8839999999999995,3.23,4.421280010342596,3.443280010342598,-8.511738081755299,-5.796893831755298,bronze
Gaia EDR3 2027951173435143680,297.8787917,27.4602222,-6.821989742674306,2.4094414399719013,0.03639452781654005,K0,4185.0,4.3069999999999995,0.218,555431.0,3.933,0.226,335514.0,3.806,0.228,262434.0,2027951173435143680,297.87876445836974,0.019260623597245632,27.46020706685309,0.024925443320687152,0.3728552994205654,0.030349340157764505,-2.1388719815462194,0.045231695722877566,-5.819676330303802,0.049686408308778594,33678926.506353505,551700.7008771729,6.869970299999999,1.8920994,0.9799018,0.9121976,3.1815712193298884,4.34414726194784,63.94692225502872,0.3219516896428034,0.9628924000000001,2494.17048711606,2315.04095402466,2702.55229006546,1559.4771170807098,3.806,3.933,4.3069999999999995,3.636,3.9014712495027504,3.5274712495027507,-8.34863068012151,-5.95062718012151,bronze
Gaia EDR3 3324706116226617856,97.50955625,7.921113888888889,-9.642488504841117,-0.7123383517727336,-0.004518911269843516,K2,4043.33,4.31,0.24,516928.0,3.568,0.2,486082.0,3.353,0.266,302148.0,3324706116226617856,97.50955558488899,0.03315264783684985,7.921103067290825,0.03132735830250201,0.5584767458911972,0.03862191710880576,-0.15718302546807744,0.0784517281500012,-2.6831852276535217,0.07417931689879119,65548973.20981552,45977.82412579055,6.1469510000000005,1.6063776,0.79499674,0.81138086,13.660529084404187,0.3285117122276321,203.44694331058352,-1.1087592354815097,0.90655684,1707.51568919839,1599.4956528018695,1830.8239711981696,1332.66212412099,3.353,3.568,4.31,3.293,4.163270135424199,3.4212701354241983,-7.868823514040128,-5.363306651040128,bronze
Gaia EDR3 2165179226821714176,316.2400833000001,47.147,-7.940965664588213,2.0187434687055728,0.02733906194239808,K2,4043.33,4.959,0.294,349808.0,4.089,0.204,345390.0,3.876,0.32,214299.0,2165179226821714176,316.24007991486667,0.02406532860407512,47.14698000379338,0.0280651269392254,0.4951459184207041,0.02962130811566852,0.17124417236419098,0.05104342272195004,-1.9997065693848348,0.0610191498136938,29152764.32757892,17958.88063322728,7.0266660000000005,1.8830790000000002,0.95486116,0.9282179,-20.330627901205567,1.4175796292726803,88.32634079599211,0.07150116305176478,0.9753358,1909.21228249886,1804.83161552065,2026.10724519005,1073.00638832049,3.876,4.089,4.959,3.796,4.781469539191887,3.911469539191888,-7.608271098207887,-5.102754235207889,bronze
Gaia DR2 2173519159944474112,325.9845,53.7118889,-8.339865880861462,2.6397386072239937,0.045953986782387365,K2,4043.33,5.835,0.023,131350.0,4.8439999999999985,0.027000000000000003,160809.0,4.477,0.036000000000000004,127532.0,2173519159944474112,325.9845855205605,0.036439826035056966,53.71183468814373,0.03477337254774812,0.3757117403469737,0.0421374623224785,-4.07971452367348,0.0745380156930797,-4.0349348879126845,0.06978464071801277,2971058.7408987777,2265.5276985191904,9.506086999999999,3.0868254,1.8349093999999997,1.2519159,,,97.33870461551052,0.42813182529772537,0.9995691999999999,2467.70637475408,2228.68089831569,2761.86865994517,1164.37992534883,4.477,4.8439999999999985,5.835,4.227,5.25784796386153,4.266847963861529,-7.7344674149535955,-5.228950551953597,bronze
Gaia EDR3 5862012914542705152,196.5239583,-64.5289444,-7.369600862991108,-0.9170744116282454,-0.010040189491943815,M4,3535.0,3.1919999999999997,0.25,1000000.0,2.164,0.266,1000000.0,1.779,0.31,1000000.0,5862012914542705152,196.52386504750496,0.045303408781759,-64.52895345028419,0.04318514871384927,0.8981688106286422,0.05430645432607885,-7.707613412272267,0.08558484763994798,-2.7085314676477354,0.08342899605394817,47873572.26216394,186476.53285410086,6.4881263,3.2953296,2.0433125,1.252017,,,304.50762652122813,-1.7020569481210497,0.88774806,1083.68103625692,1021.95694905138,1153.18604141533,1728.3384871012802,1.779,2.164,3.1919999999999997,1.6889999999999998,2.9794452077268287,1.9514452077268287,-8.485507367756721,-5.594218867756722,bronze
